City_state,Individuals,latitude,longitude,
"Johnston, IA",2,41.670983,-93.713049,a
"Waterloo, IA",2,42.492786,-92.342577,
"West Des Moines, IA",8,41.577212,-93.711332,a
"Garden City, KS",2,37.97169,-100.872662,a
"Kansas City, KS",62,39.114053,-94.627464,a
"Overland Park, KS",6,38.982228,-94.670792,a
"Shawnee, KS",4,39.022848,-94.715187,a
"Wichita, KS",16,37.687176,-97.330053,
"Bowling Green, KY",42,36.968522,-86.480804,a
"Crescent Springs, KY",2,39.051449,-84.581611,a
"Lexington, KY",30,38.040584,-84.503716,
"Louisville, KY",230,38.252665,-85.758456,
"Owensboro, KY",2,37.771907,-87.111168,
"Alexandria, LA",24,31.311294,-92.445137,
"Baton Rouge, LA",16,30.458283,-91.14032,
"Metairie, LA",4,29.984092,-90.152852,a
"Biddeford, ME",20,43.492584,-70.453384,a
"Falmouth, ME",2,43.743534,-70.260176,a
"Lewiston, ME",10,44.100351,-70.214776,
"Portland, ME",48,43.661471,-70.255326,
"South Portland, ME",2,43.641472,-70.240881,a
"Westbrook, ME",8,43.677025,-70.371162,a
"Baltimore, MD",110,39.290385,-76.612189,
"Columbia, MD",8,39.203714,-76.861046,a
"Dundalk, MD",4,39.250663,-76.520518,a
"Elkridge, MD",20,39.197879,-76.762507,a
"Germantown, MD",2,39.173162,-77.27165,a
"Halethorpe, MD",8,39.240174,-76.680644,a
"Riverdale Park, MD",12,38.963444,-76.931641,a
"Silver Spring, MD",80,38.990666,-77.026088,a
"Beverly, MA",2,42.558428,-70.880049,
"Boston, MA",14,42.360083,-71.05888,
"Chelsea, MA",6,42.391764,-71.032828,a
"Dartmouth, MA",2,41.613032,-70.970479,a
"Jamaica Plain, MA",2,42.309737,-71.115143,a
"Lowell, MA",50,42.633425,-71.316172,a
"Lynn, MA",6,42.466763,-70.949494,a
"Malden, MA",8,42.425096,-71.066163,a
"South Boston, MA",30,42.338144,-71.047577,a
"Springfield, MA",52,42.101483,-72.589811,
"Waltham, MA",2,42.376485,-71.235611,a
"West Springfield, MA",44,42.107038,-72.620367,a
"Worcester, MA",62,42.262593,-71.802293,
"Ann Arbor, MI",20,42.280826,-83.743038,
"Battle Creek, MI",32,42.321152,-85.179714,
"Center Line, MI",4,42.485036,-83.0277,
"Clinton Township, MI",16,42.586888,-82.919551,
"Dearborn Heights, MI",6,42.336982,-83.273263,
"Dearborn, MI",26,42.32226,-83.176314,
"Detroit, MI",4,42.331427,-83.045754,
"Grand Rapids, MI",152,42.96336,-85.668086,
"Inkster, MI",12,42.294205,-83.30993,
"Lansing, MI",72,42.732535,-84.555535,
"Madison Heights, MI",18,42.485869,-83.105203,
"Novi, MI",2,42.48059,-83.475491,
"Oak Park, MI",10,42.45948,-83.182705,
